Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/questionnaire/household/{id}/individual-introduction/,320,0,36,37.87560760974884,25.69746971130371,79.78081703186035,17549.8,1.0676076179561713,0.0,36,40,41,43,47,52,65,72,80,80,80,80
POST,/questionnaire/household/{id}/individual-introduction/,320,0,53,55.44678270816803,36.38815879821777,141.2372589111328,321.0,1.0676076179561713,0.0,53,56,60,63,75,88,96,100,140,140,140,140
GET,/questionnaire/household/{id}/job-description/,256,0,39,40.91751854866743,28.400182723999023,87.07666397094727,17803.0,0.8540860943649371,0.0,39,43,46,47,53,57,62,69,87,87,87,87
POST,/questionnaire/household/{id}/job-description/,256,0,56,58.769949711859226,38.73729705810547,243.00336837768555,299.0,0.8540860943649371,0.0,56,60,64,66,75,86,96,140,240,240,240,240
GET,/questionnaire/household/{id}/job-title/,256,0,40,42.24794637411833,27.317523956298828,76.70021057128906,18099.5,0.8540860943649371,0.0,40,44,47,48,54,61,70,74,77,77,77,77
POST,/questionnaire/household/{id}/job-title/,256,0,56,58.296216651797295,39.6728515625,124.03249740600586,303.0,0.8540860943649371,0.0,56,61,65,67,75,81,91,100,120,120,120,120
GET,/questionnaire/household/{id}/location-one-year-ago/,320,0,43,45.148392021656036,27.695178985595703,112.06197738647461,20595.0,1.0676076179561713,0.0,43,47,50,52,61,68,81,89,110,110,110,110
POST,/questionnaire/household/{id}/location-one-year-ago/,320,0,57,60.75906828045845,40.72284698486328,136.77215576171875,307.0,1.0676076179561713,0.0,57,63,68,72,81,89,95,110,140,140,140,140
GET,/questionnaire/household/{id}/look-after-or-support-others/,284,0,42,43.21485002275924,28.48029136657715,116.22333526611328,22181.830985915494,0.947501760936102,0.0,42,45,47,49,56,67,71,85,120,120,120,120
POST,/questionnaire/household/{id}/look-after-or-support-others/,284,0,58,60.5232791161873,39.459943771362305,122.38287925720215,309.0,0.947501760936102,0.0,58,63,67,69,78,89,96,110,120,120,120,120
GET,/questionnaire/household/{id}/main-job-introduction/,256,0,38,40.23315478116274,26.488304138183594,74.47028160095215,17543.0,0.8540860943649371,0.0,38,42,44,46,50,57,65,67,74,74,74,74
POST,/questionnaire/household/{id}/main-job-introduction/,256,0,55,57.028685696423054,39.481401443481445,119.97485160827637,303.0,0.8540860943649371,0.0,55,59,63,66,72,79,94,100,120,120,120,120
GET,/questionnaire/household/{id}/main-job-status/,256,0,41,43.32959745079279,28.263092041015625,110.92567443847656,19876.5,0.8540860943649371,0.0,41,45,47,49,56,65,77,83,110,110,110,110
POST,/questionnaire/household/{id}/main-job-status/,256,0,61,63.60085215419531,41.05401039123535,135.44392585754395,299.0,0.8540860943649371,0.0,61,65,69,72,82,92,97,110,140,140,140,140
GET,/questionnaire/household/{id}/main-language/,319,0,41,44.1072233792009,28.893709182739258,100.49176216125488,20619.05642633229,1.0642713441500584,0.0,41,45,49,51,59,68,78,85,100,100,100,100
POST,/questionnaire/household/{id}/main-language/,312,0,60,62.27125571324275,39.18933868408203,130.97023963928223,291.0,1.040917427507267,0.0,60,65,70,73,80,92,100,110,130,130,130,130
GET,/questionnaire/household/{id}/mainly-work-in-uk/,128,0,42,46.11664637923241,28.060436248779297,90.89899063110352,18518.0,0.42704304718246855,0.0,42,47,49,54,67,78,83,85,91,91,91,91
POST,/questionnaire/household/{id}/mainly-work-in-uk/,128,0,59,62.28601932525635,41.407108306884766,116.1508560180664,307.0,0.42704304718246855,0.0,59,65,69,70,83,97,100,110,120,120,120,120
GET,/questionnaire/household/{id}/marital-or-civil-partnership-status/,320,0,42,44.145531952381134,29.37936782836914,112.66088485717773,24426.8,1.0676076179561713,0.0,42,46,48,51,58,63,73,90,110,110,110,110
POST,/questionnaire/household/{id}/marital-or-civil-partnership-status/,320,0,59,62.36568093299866,41.59379005432129,155.47752380371094,315.0,1.0676076179561713,0.0,59,64,69,72,83,94,110,110,160,160,160,160
GET,/questionnaire/household/{id}/national-identity/,320,0,43,45.33991143107414,28.134822845458984,111.78946495056152,21208.6,1.0676076179561713,0.0,43,46,50,51,60,66,90,95,110,110,110,110
POST,/questionnaire/household/{id}/national-identity/,320,0,59,61.78015545010567,40.46177864074707,106.53376579284668,297.0,1.0676076179561713,0.0,59,65,70,73,82,90,95,98,110,110,110,110
GET,/questionnaire/household/{id}/nvq-level/,256,0,42,44.27202790975571,29.19292449951172,102.66900062561035,23189.0,0.8540860943649371,0.0,42,45,49,51,59,67,73,80,100,100,100,100
POST,/questionnaire/household/{id}/nvq-level/,256,0,59,62.274269759655,42.462825775146484,133.0564022064209,287.0,0.8540860943649371,0.0,59,64,69,72,81,95,110,120,130,130,130,130
GET,/questionnaire/household/{id}/passports/,312,0,42,45.37582779541994,28.633594512939453,126.9063949584961,20542.641025641027,1.040917427507267,0.0,42,46,49,52,61,74,84,93,130,130,130,130
POST,/questionnaire/household/{id}/passports/,295,0,60,63.159456091412046,40.96198081970215,167.61016845703125,285.0,0.9842007728033455,0.0,60,66,72,74,84,97,110,130,170,170,170,170
GET,/questionnaire/household/{id}/qualifications-introduction/,257,0,40,42.71903576090178,27.368545532226562,118.93033981323242,17588.303501945524,0.8574223681710501,0.0,40,43,46,49,56,68,80,87,120,120,120,120
POST,/questionnaire/household/{id}/qualifications-introduction/,256,0,54,57.62599967420101,37.11581230163574,154.12592887878418,301.0,0.8540860943649371,0.0,54,58,63,66,74,85,98,110,150,150,150,150
GET,/questionnaire/household/{id}/religion/,320,0,42,45.4202376306057,29.96683120727539,111.16337776184082,23517.2,1.0676076179561713,0.0,42,46,50,52,60,70,85,88,110,110,110,110
POST,/questionnaire/household/{id}/religion/,319,0,58,61.88189348083305,41.74184799194336,125.99921226501465,299.0,1.0642713441500584,0.0,58,64,68,71,83,95,110,120,130,130,130,130
GET,/questionnaire/household/{id}/sex-of-current-spouse/,320,0,42,44.078511744737625,28.186798095703125,125.87928771972656,18649.8,1.0676076179561713,0.0,42,45,47,50,58,67,80,84,130,130,130,130
POST,/questionnaire/household/{id}/sex-of-current-spouse/,320,0,59,62.06296756863594,41.19372367858887,162.19854354858398,303.0,1.0676076179561713,0.0,59,65,68,71,79,92,110,110,160,160,160,160
GET,/questionnaire/household/{id}/sex/,320,0,41,42.7977629005909,28.116464614868164,100.04520416259766,18552.8,1.0676076179561713,0.0,41,45,47,49,56,62,70,75,100,100,100,100
POST,/questionnaire/household/{id}/sex/,320,0,58,60.145821422338486,40.901899337768555,106.0183048248291,343.0,1.0676076179561713,0.0,59,63,66,68,75,83,92,100,110,110,110,110
GET,/questionnaire/household/{id}/sexual-orientation/,284,0,42,45.14814766360001,29.290437698364258,123.6565113067627,23464.6338028169,0.947501760936102,0.0,42,46,48,51,62,69,86,91,120,120,120,120
POST,/questionnaire/household/{id}/sexual-orientation/,269,0,59,60.33586303540765,42.021989822387695,115.94319343566895,303.0,0.8974576538444066,0.0,59,64,66,69,78,84,92,99,120,120,120,120
GET,/questionnaire/household/{id}/supervise-others/,256,0,41,46.98662459850311,28.62715721130371,935.7011318206787,18591.0,0.8540860943649371,0.0,41,44,47,48,55,66,74,120,940,940,940,940
POST,/questionnaire/household/{id}/supervise-others/,256,0,59,70.57876512408257,41.38970375061035,1280.8539867401123,297.0,0.8540860943649371,0.0,59,62,66,69,78,96,130,410,1300,1300,1300,1300
GET,/questionnaire/household/{id}/travel-to-work/,256,0,42,45.50552647560835,29.025793075561523,119.46702003479004,24625.0,0.8540860943649371,0.0,42,47,51,53,61,69,77,93,120,120,120,120
POST,/questionnaire/household/{id}/travel-to-work/,256,0,59,63.154300674796104,42.48619079589844,231.4321994781494,301.0,0.8540860943649371,0.0,59,64,66,69,84,95,130,130,230,230,230,230
GET,/questionnaire/household/{id}/what-is-your-name/,192,0,41,48.32881564895312,26.697158813476562,180.1149845123291,18345.0,0.6405645707737029,0.0,41,46,52,57,71,99,110,130,180,180,180,180
POST,/questionnaire/household/{id}/what-is-your-name/,192,0,57,68.32491358121236,39.064884185791016,240.06962776184082,277.0,0.6405645707737029,0.0,57,63,72,79,98,150,170,220,240,240,240,240
GET,/questionnaire/household/{id}/white-ethnic-group/,320,0,44,46.59624472260475,29.28900718688965,105.61776161193848,23179.6,1.0676076179561713,0.0,44,48,51,54,62,74,82,84,110,110,110,110
POST,/questionnaire/household/{id}/white-ethnic-group/,320,0,59,62.73765414953232,42.517900466918945,138.20505142211914,289.0,1.0676076179561713,0.0,59,64,69,73,83,93,120,130,140,140,140,140
GET,/questionnaire/household/{id}/workplace-address/,128,0,44,46.64970189332962,29.054880142211914,112.72835731506348,21470.0,0.42704304718246855,0.0,44,48,51,53,60,69,95,100,110,110,110,110
POST,/questionnaire/household/{id}/workplace-address/,128,0,55,59.14154648780823,39.7486686706543,130.57661056518555,237.0,0.42704304718246855,0.0,56,61,66,70,78,85,97,98,130,130,130,130
GET,/questionnaire/household/{id}/workplace-type/,256,0,42,45.61707377433777,28.676748275756836,108.93845558166504,22489.0,0.8540860943649371,0.0,42,47,52,54,63,67,75,84,110,110,110,110
POST,/questionnaire/household/{id}/workplace-type/,256,0,60,63.09218518435955,41.637420654296875,125.19288063049316,272.0,0.8540860943649371,0.0,60,65,69,74,81,97,110,120,130,130,130,130
GET,/questionnaire/number-of-bedrooms/,192,0,38,39.139757553736366,26.318073272705078,72.81947135925293,17747.0,0.6405645707737029,0.0,38,41,43,44,50,54,66,71,73,73,73,73
POST,/questionnaire/number-of-bedrooms/,192,0,51,53.04785817861557,37.54425048828125,111.68026924133301,269.0,0.6405645707737029,0.0,51,55,58,60,64,73,91,110,110,110,110,110
GET,/questionnaire/number-of-vehicles/,192,0,39,41.26140971978506,27.13918685913086,137.84074783325195,22156.0,0.6405645707737029,0.0,39,42,45,46,51,63,78,95,140,140,140,140
POST,/questionnaire/number-of-vehicles/,192,0,51,52.213624119758606,37.801265716552734,91.59231185913086,237.0,0.6405645707737029,0.0,51,56,57,59,65,68,76,80,92,92,92,92
GET,/questionnaire/own-or-rent/,192,0,38,38.45473130544027,26.57032012939453,95.14474868774414,21116.0,0.6405645707737029,0.0,38,40,43,44,47,49,56,83,95,95,95,95
POST,/questionnaire/own-or-rent/,192,0,52,54.59005758166313,38.331031799316406,145.63965797424316,275.0,0.6405645707737029,0.0,53,56,59,61,69,78,95,100,150,150,150,150
GET,/questionnaire/people-living-here/,192,0,44,51.33487035830816,28.290271759033203,152.36496925354004,22189.0,0.6405645707737029,0.0,44,50,55,60,81,110,120,150,150,150,150,150
POST,/questionnaire/people-living-here/,192,0,53,56.32179230451584,36.71622276306152,115.47422409057617,293.0,0.6405645707737029,0.0,53,58,62,64,75,92,100,100,120,120,120,120
GET,/questionnaire/people-who-live-here-introduction/,192,0,65,117.66199643413226,26.462554931640625,1498.0216026306152,16689.0,0.6405645707737029,0.0,65,81,100,110,200,420,1100,1300,1500,1500,1500,1500
POST,/questionnaire/people-who-live-here-introduction/,192,0,54,72.40293795863788,36.200761795043945,604.3746471405029,287.0,0.6405645707737029,0.0,54,63,70,75,98,190,300,430,600,600,600,600
GET,/questionnaire/relationships-introduction/,192,0,35,37.23628570636114,24.949312210083008,110.28146743774414,18370.0,0.6405645707737029,0.0,35,37,40,41,45,52,79,80,110,110,110,110
POST,/questionnaire/relationships-introduction/,192,0,47,51.732136557499565,35.53605079650879,397.960901260376,265.0,0.6405645707737029,0.0,47,51,54,57,63,72,94,130,400,400,400,400
GET,/questionnaire/relationships/,192,0,30,32.16248378157616,21.003007888793945,106.13012313842773,299.0,0.6405645707737029,0.0,30,32,35,36,40,49,67,78,110,110,110,110
GET,/questionnaire/relationships/{id}/to/{id}/,192,0,44,46.197845290104546,30.11035919189453,95.47829627990723,28492.0,0.6405645707737029,0.0,44,48,51,53,61,69,79,83,95,95,95,95
POST,/questionnaire/relationships/{id}/to/{id}/,192,0,56,56.73901240030924,42.83261299133301,89.02430534362793,237.0,0.6405645707737029,0.0,56,59,61,63,68,72,83,86,89,89,89,89
GET,/questionnaire/rooms-shared-with-another-household/,192,0,37,39.578224221865334,27.570486068725586,102.80561447143555,20810.0,0.6405645707737029,0.0,38,40,44,45,50,57,66,80,100,100,100,100
POST,/questionnaire/rooms-shared-with-another-household/,192,0,52,53.1747043132782,37.34469413757324,139.55283164978027,275.0,0.6405645707737029,0.0,52,54,56,57,63,75,100,120,140,140,140,140
GET,/questionnaire/sections/people-who-live-here-and-overnight-visitors/,192,0,39,40.79193746050199,29.424667358398438,89.31326866149902,23186.0,0.6405645707737029,0.0,39,43,46,47,51,54,61,64,89,89,89,89
POST,/questionnaire/sections/people-who-live-here-and-overnight-visitors/,192,0,31,33.130413542191185,22.668123245239258,74.19872283935547,237.0,0.6405645707737029,0.0,31,33,35,36,43,53,65,72,74,74,74,74
GET,/questionnaire/type-of-house/,192,0,37,38.02452236413956,26.723146438598633,63.55476379394531,19413.0,0.6405645707737029,0.0,37,40,42,43,47,53,60,61,64,64,64,64
POST,/questionnaire/type-of-house/,192,0,51,53.41539035240809,38.46859931945801,145.31469345092773,309.0,0.6405645707737029,0.0,52,55,58,61,68,73,81,100,150,150,150,150
GET,/questionnaire/visitors/any-more-visitors-add-visitor/?previous=any-visitors,192,0,39,40.518730878829956,27.11796760559082,86.17329597473145,20025.0,0.6405645707737029,0.0,39,41,44,46,52,60,65,73,86,86,86,86
POST,/questionnaire/visitors/any-more-visitors-add-visitor/?previous=any-visitors,192,0,51,52.59618287285169,37.13822364807129,93.60384941101074,273.0,0.6405645707737029,0.0,51,55,58,59,64,68,77,88,94,94,94,94
GET,/questionnaire/visitors/{id}/visitor-date-of-birth/,128,0,40,41.65654815733433,29.204845428466797,74.28836822509766,21046.0,0.42704304718246855,0.0,40,44,46,47,54,58,72,74,74,74,74,74
POST,/questionnaire/visitors/{id}/visitor-date-of-birth/,128,0,56,57.83097259700298,39.83354568481445,121.59109115600586,293.0,0.42704304718246855,0.0,56,59,62,63,74,88,90,100,120,120,120,120
GET,/questionnaire/visitors/{id}/visitor-introduction/,128,0,36,38.44222240149975,26.262283325195312,91.18461608886719,18503.0,0.42704304718246855,0.0,36,39,41,43,52,56,62,88,91,91,91,91
POST,/questionnaire/visitors/{id}/visitor-introduction/,128,0,53,55.91338127851486,38.16628456115723,125.50926208496094,313.0,0.42704304718246855,0.0,53,57,60,62,76,83,110,130,130,130,130,130
GET,/questionnaire/visitors/{id}/visitor-sex/,128,0,39,42.38484613597393,29.041051864624023,78.0487060546875,20316.0,0.42704304718246855,0.0,39,42,45,50,63,72,75,77,78,78,78,78
POST,/questionnaire/visitors/{id}/visitor-sex/,128,0,57,60.21237000823021,38.504600524902344,136.34800910949707,313.0,0.42704304718246855,0.0,57,63,66,67,75,90,110,120,140,140,140,140
GET,/questionnaire/visitors/{id}/visitor-usual-address-details/,128,0,40,45.514484867453575,27.976036071777344,101.14192962646484,19599.0,0.42704304718246855,0.0,40,48,53,55,63,79,97,99,100,100,100,100
POST,/questionnaire/visitors/{id}/visitor-usual-address-details/,128,0,56,58.437542989850044,39.45350646972656,109.61771011352539,237.0,0.42704304718246855,0.0,56,60,63,67,74,86,100,110,110,110,110,110
GET,/questionnaire/visitors/{id}/visitor-usual-address/,128,0,40,42.58917085826397,27.759552001953125,86.83419227600098,20456.0,0.42704304718246855,0.0,40,45,48,49,58,62,70,74,87,87,87,87
POST,/questionnaire/visitors/{id}/visitor-usual-address/,128,0,55,59.98619459569454,40.00091552734375,128.61227989196777,329.0,0.42704304718246855,0.0,55,60,66,68,83,92,110,110,130,130,130,130
POST,/questionnaire/who-else-lives-here/,192,0,61,67.9761419693629,39.20292854309082,275.6764888763428,375.0,0.6405645707737029,0.0,61,68,74,76,90,110,170,210,280,280,280,280
GET,/session,192,0,190.0,231.02730388442674,68.81952285766602,1666.5773391723633,237.0,0.6405645707737029,0.0,190,240,270,280,350,420,1200,1600,1700,1700,1700,1700
GET,/submitted/thank-you/,128,0,25,36.6948414593935,14.710426330566406,147.4919319152832,18068.0,0.42704304718246855,0.0,25,33,45,57,76,87,110,140,150,150,150,150
,Aggregated,34748,0,48,53.32606741319088,14.710426330566406,1666.5773391723633,10475.859502705192,115.92884221481576,0.0,48,55,59,62,72,84,110,140,420,1500,1700,1700
